SITE_ID,SITE_UID,MONITORING_UNIT_ID,ANALYZER_ID,PARAMETER_ID,PARAMETER_NAME,READING,UNIT_ID,DATA_QUALITY_CODE,RAW_READING,UNIX_TIMESTAMP,CALIBRATION_FLAG,MAINTENANCE_FLAG
site_789,site_789,MEE_OUTLET,analyzer_436,parameter_95,Flow,136,unit_12,U,136,1736733618,0,0
site_789,site_789,MEE_INLET,analyzer_436,parameter_95,Flow,93,unit_12,U,93,1736733618,0,0
site_789,site_789,ETP_INLET,analyzer_436,parameter_95,Flow,13152,unit_12,U,13152,1736733618,0,0
site_789,site_789,ETP_OUTLET,analyzer_436,parameter_95,Flow,11990,unit_12,U,11990,1736733618,0,0
