SITE_ID,SITE_UID,MONITORING_UNIT_ID,ANALYZER_ID,PARAMETER_ID,PARAMETER_NAME,READING,UNIT_ID,DATA_QUALITY_CODE,RAW_READING,UNIX_TIMESTAMP,CALIBRATION_FLAG,MAINTENANCE_FLAG
site_789,site_789,MEE_OUTLET,analyzer_436,parameter_95,Flow,262,unit_12,U,262,1749479945,0,0
site_789,site_789,MEE_INLET,analyzer_436,parameter_95,Flow,0,unit_12,U,0,1749479945,0,0
site_789,site_789,ETP_INLET,analyzer_436,parameter_95,Flow,22819,unit_12,U,22819,1749479945,0,0
site_789,site_789,ETP_OUTLET,analyzer_436,parameter_95,Flow,20978,unit_12,U,20978,1749479945,0,0
