SITE_ID,SITE_UID,MONITORING_UNIT_ID,ANALYZER_ID,PARAMETER_ID,PARAMETER_NAME,READING,UNIT_ID,DATA_QUALITY_CODE,RAW_READING,UNIX_TIMESTAMP,CALIBRATION_FLAG,MAINTENANCE_FLAG
site_789,site_789,MEE_OUTLET,analyzer_436,parameter_95,Flow,100,unit_12,U,100,1733782144,0,0
site_789,site_789,MEE_INLET,analyzer_436,parameter_95,Flow,65,unit_12,U,65,1733782144,0,0
site_789,site_789,ETP_INLET,analyzer_436,parameter_95,Flow,10821,unit_12,U,10821,1733782144,0,0
site_789,site_789,ETP_OUTLET,analyzer_436,parameter_95,Flow,9542,unit_12,U,9542,1733782144,0,0
